sample_barcode	sample_id
TARGET-20-PARUBT-09A-02R	SRR1286890
TARGET-20-PAPBEJ-09A-03R	SRR1286897
TARGET-10-PARGHW-04A-01R	SRR1288015
TARGET-10-PAPJIB-04A-01R	SRR1288016
TARGET-10-PANTSM-04A-01R	SRR1288086
TARGET-20-PATIAK-04A-01R	SRR1288090
TARGET-20-PATJHJ-40A-01R	SRR1288098
TARGET-20-PASVYA-04A-01R	SRR1288107
TARGET-20-PATDNN-04A-02R	SRR1288112
TARGET-20-PAECCE-04A-01R	SRR1288113
TARGET-20-PADYIR-04A-01R	SRR1288121
TARGET-20-PARLVL-04A-02R	SRR1288128
TARGET-10-PASLZM-40A-01R	SRR1292949
TARGET-10-PAPAIZ-09A-01R	SRR1292963
TARGET-10-PARWVN-03A-01R	SRR1292972
TARGET-10-PAPZST-04A-01R	SRR1292979
TARGET-10-PARSGC-03A-02R	SRR1293028
TARGET-10-PASDYK-03A-02R	SRR1293031
TARGET-10-PANZPJ-09A-02R	SRR1293046
TARGET-10-PANSXG-09A-02R	SRR1293061
TARGET-20-PASVYA-09A-01R	SRR1294229
TARGET-20-PASYJI-09A-03R	SRR1294230
TARGET-20-PAPXWI-09A-03R	SRR1294247
TARGET-20-PAEAKL-09A-03R	SRR1294259
TARGET-20-PASFLM-09A-01R	SRR1294278
TARGET-20-PATJHJ-09A-01R	SRR1294280
TARGET-50-PADXAY-01A-01R	SRR1329252
TARGET-50-PAKGED-01A-01R	SRR1329257
TARGET-20-PARUBT-40A-01R	SRR1379910
TARGET-10-PANTSM-04A-01R	SRR1790995
TARGET-10-PAPAIZ-09A-01R	SRR1791000
TARGET-10-PANSXG-09A-02R	SRR1791025
TARGET-10-PANZPJ-09A-02R	SRR1791061
TARGET-10-PAPJIB-04A-01R	SRR1791070
TARGET-10-PARSGC-03A-02R	SRR1791080
TARGET-10-PARWVN-03A-01R	SRR1791085
TARGET-10-PARGHW-04A-01R	SRR1791107
TARGET-20-PAECCE-04A-01R	SRR1791147
TARGET-20-PAKSMZ-03A-02R	SRR1791153
TARGET-20-PADYIR-04A-01R	SRR1791163
TARGET-20-PATJHJ-40A-01R	SRR1791164
TARGET-20-PASVYA-04A-01R	SRR1796858
TARGET-20-PARLVL-04A-02R	SRR1796872
TARGET-20-PARUBT-09A-02R	SRR1796873
TARGET-20-PARUDL-03A-01R	SRR1796876
TARGET-20-PASCFW-09A-01R	SRR1796895
TARGET-20-PAPBEJ-09A-03R	SRR1796896
TARGET-20-PATIAK-04A-01R	SRR1796904
TARGET-20-PATDNN-04A-02R	SRR1796918
TARGET-20-PARUBT-40A-01R	SRR1796933
TARGET-50-PADXAY-01A-01R	SRR1796946
TARGET-50-PAKYLT-01A-01R	SRR1796977
TARGET-50-PAJMVC-01A-01R	SRR1796982
TARGET-50-PALDTE-01A-01R	SRR1796994
TARGET-50-PAKMSV-01A-01R	SRR1797007
TARGET-50-PAJNDU-01A-01R	SRR1797057
TARGET-50-PAKGED-01A-01R	SRR1797062
TARGET-10-PASDYK-03A-02R	SRR1797064
TARGET-10-PAPZST-04A-01R	SRR1797094
TARGET-10-PASLZM-40A-01R	SRR1797128
TARGET-21-PAMXZY-09A-03R	SRR1798952
TARGET-21-PASDXR-09A-02R	SRR1798953
TARGET-21-PARZIA-41A-02R	SRR1798954
