sample	caller
BS_6HB5SWHB	freec
BS_6HB5SWHB	manta
BS_6JBE0947	cnvkit
BS_6K2SSJ77	cnvkit
BS_6K2SSJ77	manta
BS_6KH6CXMH	cnvkit
BS_6KH6CXMH	freec
BS_6KH6CXMH	manta
BS_6MB17VDK	freec
BS_6MB17VDK	manta
BS_6PF7MREF	freec
BS_6PF7MREF	manta
BS_6PFZPERB	freec
BS_6PFZPERB	manta
BS_6PKF4RCZ	freec
BS_6PKF4RCZ	manta
BS_6S50RDHT	cnvkit
BS_6S50RDHT	freec
BS_6S50RDHT	manta
BS_6TDP5PG8	cnvkit
BS_6TDP5PG8	freec
BS_6TDP5PG8	manta
BS_6Z4WHYDG	cnvkit
BS_742CDKAS	freec
BS_74A1TB03	cnvkit
BS_75CB0SFJ	freec
BS_75CB0SFJ	manta
BS_75HW641M	cnvkit
BS_75HW641M	manta
BS_76SQJSHP	cnvkit
BS_76SQJSHP	manta
BS_78WMYFPB	freec
BS_78WMYFPB	manta
BS_79MBTVKE	freec
BS_79MBTVKE	manta
BS_79NQJZ09	freec
BS_79SYEHY3	freec
BS_7AMH32Y7	cnvkit
BS_7AMH32Y7	freec
BS_7AMH32Y7	manta
BS_7BJQNVK8	cnvkit
BS_7C8KKJGS	freec
BS_7C8KKJGS	manta
BS_7D1HBP3E	freec
BS_7D1HBP3E	manta
BS_7F07M7JG	freec
BS_7HRQNWJY	cnvkit
BS_7HRQNWJY	freec
BS_7HRQNWJY	manta
BS_7JEQAZQ9	freec
BS_7JEQAZQ9	manta
BS_7MK3VZTF	freec
BS_7MK3VZTF	manta
BS_7MXT22QP	cnvkit
BS_7MXT22QP	manta
BS_7NXB23C9	cnvkit
BS_7PF3C1P7	freec
BS_7Q3PF5X6	cnvkit
BS_7Q3PF5X6	freec
BS_7Q3PF5X6	manta
BS_7S8KSFRC	cnvkit
BS_7S8KSFRC	freec
BS_7S8KSFRC	manta
BS_7W42FH5A	cnvkit
BS_7W42FH5A	freec
BS_7ZT919XN	cnvkit
BS_7ZT919XN	freec
BS_7ZT919XN	manta
BS_808H2FQN	cnvkit
BS_8313ZZ6E	freec
BS_8313ZZ6E	manta
BS_85Y70BHE	freec
BS_87J6X9KJ	cnvkit
BS_87J6X9KJ	manta
BS_88BVXTD6	freec
BS_88BVXTD6	manta
BS_89RCN9PF	freec
BS_89V49XKJ	cnvkit
BS_89V49XKJ	manta
BS_8BD8WD38	freec
BS_8BS10XE2	freec
BS_8C5QG3GE	cnvkit
BS_8C5QG3GE	manta
BS_8D7YYP13	cnvkit
BS_8D7YYP13	manta
BS_8DB19DYW	cnvkit
BS_8DB19DYW	manta
BS_8FYZMP93	cnvkit
BS_8H2XX24V	freec
BS_8JTH2X5Z	cnvkit
BS_8JTH2X5Z	freec
BS_8JTH2X5Z	manta
BS_8MJNDM75	cnvkit
BS_8N2RSTZ8	freec
BS_8N2RSTZ8	manta
BS_8N7SEJ8G	freec
BS_8N7SEJ8G	manta
BS_8Q8N6AHW	cnvkit
BS_8RQFN1D2	freec
BS_8RQFN1D2	manta
BS_8S0EDFTP	cnvkit
BS_8S2CZBA6	freec
BS_8WAAK6KT	freec
BS_8WAAK6KT	manta
BS_8WJ1GFG1	freec
BS_8WJ1GFG1	manta
BS_8WJR4AA3	cnvkit
BS_8XDZQKSD	cnvkit
BS_8ZFK0D8Z	cnvkit
BS_8ZFK0D8Z	freec
BS_920FGZAB	freec
BS_920FGZAB	manta
BS_92YFTG9R	cnvkit
BS_92YFTG9R	freec
BS_92YFTG9R	manta
BS_930M10KN	freec
BS_930M10KN	manta
BS_93JTPAGW	freec
BS_93JTPAGW	manta
BS_95PV1RRY	cnvkit
BS_95PV1RRY	freec
BS_95PV1RRY	manta
BS_96S0VQBN	freec
BS_9948DY03	freec
BS_9948DY03	manta
BS_9BN45DFK	freec
BS_9BZBCZHK	cnvkit
BS_9BZBCZHK	freec
BS_9BZBCZHK	manta
BS_9CPZ5R1T	cnvkit
BS_9DM8H1RX	cnvkit
BS_9DM8H1RX	freec
BS_9DMS9Z8S	freec
BS_9DMS9Z8S	manta
BS_9G2RB0V8	cnvkit
BS_9G2RB0V8	manta
BS_9GJHMA3J	cnvkit
BS_9JVGXA2W	freec
BS_9M49SGAQ	freec
BS_9ND96NYZ	cnvkit
BS_9ND96NYZ	freec
BS_9P1H3TEF	freec
BS_9P1H3TEF	manta
BS_9P4NDTKJ	cnvkit
BS_9P4NDTKJ	freec
BS_9PEJSEZG	cnvkit
BS_9PEJSEZG	manta
BS_9PRG9CJC	cnvkit
BS_9Q7P8B9M	freec
BS_9Q7P8B9M	manta
BS_9R82A3VT	cnvkit
BS_9RDM2D5C	freec
BS_9RDM2D5C	manta
BS_9VCSVTHV	freec
BS_9VCSVTHV	manta
BS_9WEBE5PM	freec
BS_9WEBE5PM	manta
BS_9X9E86DY	cnvkit
BS_9YMT5HB4	cnvkit
BS_9Z9T3DT7	freec
BS_9Z9T3DT7	manta
